X,Y,Z
686.5732,80.7500,1004.8957
687.5541,80.7500,1004.8989
688.5350,80.7500,1004.9022
689.5159,80.7500,1004.9054
690.4968,80.7500,1004.9086
691.4777,80.7500,1004.9119
692.4586,80.7500,1004.9151
693.4395,80.7500,1004.9184
694.4204,80.7500,1004.9216
695.4013,80.7500,1004.9248
696.3822,80.7500,1004.9281
697.3631,80.7500,1004.9313
698.3439,80.7500,1004.9345
699.3248,80.7500,1004.9378
700.3057,80.7500,1004.9410
701.2866,80.7500,1004.9442
702.2675,80.7500,1004.9475
703.2484,80.7500,1004.9507
704.2293,80.7500,1004.9540
705.2102,80.7500,1004.9572
706.1911,80.7500,1004.9604
707.1720,80.7500,1004.9637
708.1529,80.7500,1004.9669
709.1338,80.7500,1004.9701
710.1146,80.7500,1004.9734
711.0955,80.7500,1004.9766
712.0764,80.7500,1004.9799
713.0573,80.7500,1004.9831
714.0382,80.7500,1004.9863
715.0191,80.7500,1004.9896
716.0000,80.7500,1004.9928
716.9809,80.7500,1004.9960
717.9618,80.7500,1004.9993
718.9427,80.7500,1005.0025
719.9236,80.7500,1005.0057
720.9045,80.7500,1005.0090
721.8854,80.7500,1005.0122
722.8662,80.7500,1005.0155
723.8471,80.7500,1005.0187
724.8280,80.7500,1005.0219
725.8089,80.7500,1005.0252
726.7898,80.7500,1005.0284
727.7707,80.7500,1005.0316
728.7516,80.7500,1005.0349
729.7325,80.7500,1005.0381
730.7134,80.7500,1005.0414
731.6943,80.7500,1005.0446
732.6752,80.7500,1005.0478
733.6561,80.7500,1005.0511
734.6369,80.7500,1005.0543
735.6178,80.7500,1005.0575
736.5987,80.7500,1005.0608
737.5796,80.7500,1005.0640
738.5605,80.7500,1005.0673
739.5414,80.7500,1005.0705
740.5223,80.7500,1005.0737
741.5032,80.7500,1005.0770
742.4841,80.7500,1005.0802
743.4650,80.7500,1005.0834
744.4459,80.7500,1005.0867
745.4268,80.7500,1005.0899
746.4076,80.7500,1005.0931
747.3885,80.7500,1005.0964
748.3694,80.7500,1005.0996
749.3503,80.7500,1005.1029
750.3312,80.7500,1005.1061
751.3121,80.7500,1005.1093
752.2930,80.7500,1005.1126
753.2739,80.7500,1005.1158
754.2548,80.7500,1005.1190
755.2357,80.7500,1005.1223
756.2166,80.7500,1005.1255
757.1975,80.7500,1005.1288
758.1783,80.7500,1005.1320
759.1592,80.7500,1005.1352
760.1401,80.7500,1005.1385
761.1210,80.7500,1005.1417
762.1019,80.7500,1005.1449
763.0828,80.7500,1005.1482
764.0637,80.7500,1005.1514
765.0446,80.7500,1005.1546
766.0255,80.7500,1005.1579
767.0064,80.7500,1005.1611
767.9873,80.7500,1005.1644
768.9682,80.7500,1005.1676
769.9490,80.7500,1005.1708
770.9299,80.7500,1005.1741
771.9108,80.7500,1005.1773
772.8917,80.7500,1005.1805
773.8726,80.7500,1005.1838
774.8535,80.7500,1005.1870
775.8344,80.7500,1005.1903
776.8153,80.7500,1005.1935
777.7962,80.7500,1005.1967
778.7771,80.7500,1005.2000
779.7580,80.7500,1005.2032
780.7389,80.7500,1005.2064
781.7197,80.7500,1005.2097
782.7006,80.7500,1005.2129
783.6815,80.7500,1005.2161
784.6624,80.7500,1005.2194
785.6433,80.7500,1005.2226
786.6242,80.7500,1005.2259
787.6051,80.7500,1005.2291
788.5860,80.7500,1005.2323
789.5669,80.7500,1005.2356
790.5478,80.7500,1005.2388
791.5287,80.7500,1005.2420
792.5096,80.7500,1005.2453
793.4904,80.7500,1005.2485
794.4713,80.7500,1005.2518
795.4522,80.7500,1005.2550
796.4331,80.7500,1005.2582
797.4140,80.7500,1005.2615
798.3949,80.7500,1005.2647
799.3758,80.7500,1005.2679
800.3567,80.7500,1005.2712
801.3376,80.7500,1005.2744
802.3185,80.7500,1005.2777
803.2994,80.7500,1005.2809
804.2803,80.7500,1005.2841
805.2611,80.7500,1005.2874
